author,text
EAP,"['process', 'however', 'afforded', 'means', 'ascertaining', 'dimensions', 'dungeon', 'might', 'make', 'circuit', 'return', 'point', 'whence', 'set', 'without', 'aware', 'fact', 'perfectly', 'uniform', 'seemed', 'wall']"
HPL,"['never', 'occurred', 'fumbling', 'might', 'mere', 'mistake']"
EAP,"['left', 'hand', 'gold', 'snuff', 'box', 'capered', 'hill', 'cutting', 'manner', 'fantastic', 'steps', 'took', 'snuff', 'incessantly', 'air', 'greatest', 'possible', 'self', 'satisfaction']"
MWS,"['lovely', 'spring', 'looked', 'windsor', 'terrace', 'sixteen', 'fertile', 'counties', 'spread', 'beneath', 'speckled', 'happy', 'cottages', 'wealthier', 'towns', 'looked', 'former', 'years', 'heart', 'cheering', 'fair']"
HPL,"['finding', 'nothing', 'else', 'even', 'gold', 'superintendent', 'abandoned', 'attempts', 'perplexed', 'look', 'occasionally', 'steals', 'countenance', 'sits', 'thinking', 'desk']"
MWS,"['youth', 'passed', 'solitude', 'best', 'years', 'spent', 'gentle', 'feminine', 'fosterage', 'refined', 'groundwork', 'character', 'can', 'not', 'overcome', 'intense', 'distaste', 'usual', 'brutality', 'exercised', 'board', 'ship', 'never', 'believed', 'necessary', 'heard', 'mariner', 'equally', 'noted', 'kindliness', 'heart', 'respect', 'obedience', 'paid', 'crew', 'felt', 'peculiarly', 'fortunate', 'able', 'secure', 'services']"
EAP,"['astronomer', 'perhaps', 'point', 'took', 'refuge', 'suggestion', 'non', 'luminosity', 'analogy', 'suddenly', 'let', 'fall']"
EAP,"['surcingle', 'hung', 'ribands', 'body']"
EAP,"['knew', 'could', 'say', 'stereotomy', 'without', 'brought', 'think', 'atomies', 'thus', 'theories', 'epicurus', 'since', 'discussed', 'subject', 'long', 'ago', 'mentioned', 'singularly', 'yet', 'little', 'notice', 'vague', 'guesses', 'noble', 'greek', 'met', 'confirmation', 'late', 'nebular', 'cosmogony', 'felt', 'could', 'avoid', 'casting', 'eyes', 'upward', 'great', 'nebula', 'orion', 'certainly', 'expected', 'would']"
MWS,"['confess', 'neither', 'structure', 'languages', 'code', 'governments', 'politics', 'various', 'states', 'possessed', 'attractions']"
MWS,"['shall', 'find', 'feel', 'injuries', 'shall', 'learn', 'dread', 'revenge', 'days', 'arrived']"
EAP,"['barricaded', 'present', 'secure']"
HPL,"['herbert', 'west', 'needed', 'fresh', 'bodies', 'life', 'work', 'reanimation', 'dead']"
HPL,"['farm', 'like', 'grounds', 'extended', 'back', 'deeply', 'hill', 'almost', 'wheaton', 'street']"
EAP,"['glance', 'show', 'fallacy', 'idea']"
MWS,"['escaped', 'must', 'commence', 'destructive', 'almost', 'endless', 'journey', 'across', 'mountainous', 'ices', 'ocean', 'amidst', 'cold', 'inhabitants', 'could', 'long', 'endure', 'native', 'genial', 'sunny', 'climate', 'could', 'hope', 'survive']"
EAP,"['speeches', 'gave', 'course', 'interpretation', 'fancying', 'doubt', 'events', 'come', 'possession', 'vast', 'quantities', 'ready', 'money', 'provided', 'paid', 'owed', 'trifle', 'consideration', 'services', 'dare', 'say', 'cared', 'little', 'became', 'either', 'soul', 'carcass']"
MWS,"['native', 'sprightliness', 'needed', 'undue', 'excitement', 'placid', 'heart', 'reposed', 'contented', 'love', 'well', 'children', 'beauty', 'surrounding', 'nature']"
EAP,"['even', 'went', 'far', 'speak', 'slightly', 'hectic', 'cough', 'one', 'time', 'troubled', 'chronic', 'rheumatism', 'twinge', 'hereditary', 'gout', 'conclusion', 'disagreeable', 'inconvenient', 'hitherto', 'carefully', 'concealed', 'weakness', 'eyes']"
HPL,"['facial', 'aspect', 'remarkable', 'maturity', 'though', 'shared', 'mothers', 'grandfathers', 'chinlessness', 'firm', 'precociously', 'shaped', 'nose', 'united', 'expression', 'large', 'dark', 'almost', 'latin', 'eyes', 'give', 'air', 'quasi', 'adulthood', 'well', 'nigh', 'preternatural', 'intelligence']"
EAP,"['net', 'work', 'permanently', 'fastened', 'hoop', 'attached', 'series', 'running', 'loops', 'nooses']"
HPL,"['sounds', 'hideous', 'held', 'vibrations', 'suggesting', 'nothing', 'globe', 'earth', 'certain', 'intervals', 'assumed', 'symphonic', 'quality', 'could', 'hardly', 'conceive', 'produced', 'one', 'player']"
EAP,"['every', 'hand', 'wilderness', 'balconies', 'verandas', 'minarets', 'shrines', 'fantastically', 'carved', 'oriels']"
EAP,"['deep', 'spirit', 'wonder', 'perplexity', 'wont', 'regard', 'remote', 'pew', 'gallery', 'step', 'solemn', 'slow', 'ascended', 'pulpit', 'reverend', 'man', 'countenance', 'demurely', 'benign', 'robes', 'glossy', 'clerically', 'flowing', 'wig', 'minutely', 'powdered', 'rigid', 'vast', 'could', 'late', 'sour', 'visage', 'snuffy', 'habiliments', 'administered', 'ferule', 'hand', 'draconian', 'laws', 'academy']"
EAP,"['bizarre', 'attempts', 'explanation', 'followed', 'others', 'equally', 'bizarre']"
